"","loan_amount","interest_rate","term","grade","state","annual_income","homeownership","debt_to_income"
"85",24000,10.42,60,"B","VA",90000,"MORTGAGE",17.44
"86",5000,7.96,36,"A","SD",95000,"OWN",11.45
"87",40000,13.59,60,"C","MO",152000,"MORTGAGE",21.09
"88",15000,15.04,60,"C","IL",49500,"MORTGAGE",34.86
"89",5000,12.61,36,"C","TX",32000,"OWN",13.77
"90",7000,7.96,36,"A","FL",78000,"RENT",9.61
"91",17450,13.58,60,"C","AZ",52000,"RENT",24.39
"92",30000,16.01,60,"C","NY",147000,"MORTGAGE",5.16
"93",15000,22.91,36,"E","NJ",140000,"OWN",28.53
"94",20000,7.97,36,"A","IL",50000,"RENT",20.74
"95",15000,18.06,60,"D","MN",55000,"RENT",12.22
"96",12000,6.08,36,"A","TX",190000,"MORTGAGE",15.84
"97",16500,5.32,36,"A","CO",126000,"RENT",3.82
"98",19200,5.32,36,"A","MA",95000,"MORTGAGE",15.48
"99",7050,9.93,36,"B","NJ",80000,"MORTGAGE",14.16
"100",15000,20,60,"D","MN",23000,"MORTGAGE",49.58
"101",11200,15.05,36,"C","NY",66000,"OWN",13.27
"102",8000,7.96,36,"A","IL",60000,"RENT",16.72
"103",20000,26.77,60,"E","TX",101000,"MORTGAGE",18.5
"104",10800,9.44,60,"B","TN",113000,"MORTGAGE",15.28
"105",7200,13.59,36,"C","NH",61000,"MORTGAGE",19.05
"106",12000,15.04,36,"C","SC",28000,"RENT",26.96
"107",20000,5.31,36,"A","NY",75000,"MORTGAGE",21.63
"108",7200,14.08,36,"C","FL",44000,"MORTGAGE",24.77
"109",6000,13.59,36,"C","TX",60000,"RENT",18.36
"110",5000,7.97,36,"A","TX",47000,"RENT",18.92
"111",16000,9.93,60,"B","FL",58000,"RENT",14.66
"112",15600,6.08,36,"A","AL",55000,"MORTGAGE",29.58
"113",10000,21.85,60,"D","WY",31812,"RENT",37.83
"114",10000,10.42,36,"B","CA",95000,"RENT",13.49
"115",30000,17.47,36,"D","PA",65000,"MORTGAGE",29.36
"116",30000,10.9,36,"B","CA",250000,"RENT",1.12
"117",16000,6.08,36,"A","CO",55200,"MORTGAGE",18.67
"118",20000,12.61,36,"C","NY",42000,"RENT",25.23
"119",6275,23.87,36,"E","MO",30784,"MORTGAGE",27.56
"120",15000,18.06,36,"D","FL",60000,"OWN",26.88
"121",16000,13.59,60,"C","MO",120000,"MORTGAGE",21.45
"122",10000,16.02,36,"C","CA",63000,"MORTGAGE",15.3
"123",25000,9.93,36,"B","NY",155000,"MORTGAGE",16.13
"124",12000,9.92,36,"B","MA",40000,"RENT",2.91
"125",6000,7.35,36,"A","TN",42500,"RENT",18.55
"126",12000,10.91,36,"B","NJ",230000,"OWN",9.19
"127",10000,13.59,60,"C","LA",75000,"MORTGAGE",8.46
"128",20000,14.07,36,"C","OH",24000,"MORTGAGE",9.8
"129",8500,7.34,36,"A","MA",110000,"RENT",11.62
"130",36000,15.05,60,"C","WV",172000,"OWN",24.31
"131",40000,6.72,36,"A","GA",145000,"RENT",14.66
"132",9000,16.01,36,"C","CA",85000,"MORTGAGE",22.73
"133",7200,7.34,36,"A","PA",42000,"RENT",9.91
"134",6100,23.88,36,"E","WI",36000,"RENT",29.47
"135",2250,15.05,36,"C","TX",17000,"OWN",27.68
"136",10000,6.72,36,"A","IN",37000,"OWN",4.25
"137",25000,21.45,36,"D","CA",45000,"OWN",16.97
"138",16000,25.82,60,"E","OH",40000,"MORTGAGE",19.44
"139",32000,14.08,60,"C","CA",182000,"RENT",6.06
"140",12000,15.05,36,"C","CA",51000,"RENT",17.25
"141",10000,9.44,36,"B","MI",45000,"RENT",23.33
"142",2200,17.09,36,"D","NY",31200,"MORTGAGE",33.19
"143",4800,16.01,36,"C","IL",27278,"RENT",19.93
"144",35000,10.9,60,"B","GA",75000,"MORTGAGE",15.31
"145",35000,12.62,36,"C","KS",1e+05,"RENT",22.88
"146",10000,21.45,60,"D","NY",42000,"OWN",14.4
"147",2400,10.41,36,"B","NY",66000,"MORTGAGE",6.11
"148",19600,5.32,36,"A","OH",89000,"RENT",18.65
"149",26000,21.85,60,"D","MA",50000,"MORTGAGE",27.08
"150",12000,18.06,60,"D","MD",99000,"MORTGAGE",11.73
"151",13000,5.32,36,"A","AR",150000,"RENT",7.82
"152",11750,17.09,60,"D","NY",57000,"RENT",18.88
"153",30000,9.93,60,"B","NY",99000,"MORTGAGE",20.78
"154",7000,6.08,36,"A","MS",44000,"RENT",19.42
"155",20000,17.09,60,"D","AZ",0,"RENT",NA
"156",35000,16.01,36,"C","VA",97000,"RENT",0.33
"157",10000,13.59,60,"C","IL",30000,"MORTGAGE",8.56
"158",20000,9.92,36,"B","TN",50000,"OWN",14.16
"159",40000,15.04,60,"C","CA",115000,"MORTGAGE",12.89
"160",12000,6.71,36,"A","IL",80000,"MORTGAGE",9.92
"161",16000,17.47,36,"D","OR",15000,"RENT",7.2
"162",10000,11.99,36,"B","FL",60000,"MORTGAGE",27.06
"163",10000,13.59,36,"C","CA",50000,"RENT",13.3
"164",15000,7.35,36,"A","IN",91000,"MORTGAGE",24.99
"165",24000,10.42,60,"B","MN",75000,"MORTGAGE",0.54
"166",40000,7.97,36,"A","CA",182000,"MORTGAGE",16.72
"167",25000,9.92,60,"B","TX",65000,"MORTGAGE",10.62
"168",32175,12.61,36,"C","NC",121500,"MORTGAGE",39.34
"169",25000,9.93,60,"B","MS",170000,"MORTGAGE",14.23
"170",24000,14.07,60,"C","NY",70000,"RENT",21.79
"171",15000,14.08,60,"C","TX",60000,"OWN",5.96
"172",36000,12.62,60,"C","NY",1e+05,"MORTGAGE",22.49
"173",20000,16.02,60,"C","OR",68000,"RENT",17.28
"174",30000,14.07,60,"C","TX",65000,"MORTGAGE",29.38
"175",11000,18.06,36,"D","NY",42500,"MORTGAGE",24.57
"176",15000,14.08,60,"C","CA",52000,"RENT",21.3
"177",13500,16.02,60,"C","GA",68250,"RENT",8.63
"178",10000,11.99,60,"B","AL",55000,"MORTGAGE",8.66
"179",25000,6.72,36,"A","FL",85000,"OWN",26.49
"180",25000,19.03,60,"D","MI",318000,"MORTGAGE",8.37
"181",28000,6.71,36,"A","CO",95000,"OWN",11.33
"182",10000,6.07,36,"A","SC",71000,"RENT",15.48
"183",10000,7.35,36,"A","NC",41200,"MORTGAGE",16.95
"184",10000,13.59,36,"C","NC",44088,"RENT",27.93
"185",2500,13.59,36,"C","WA",15000,"RENT",5.87
"186",6500,5.31,36,"A","LA",95000,"OWN",12.42
"187",10000,7.97,36,"A","NE",88000,"RENT",13.04
"188",14500,7.35,36,"A","CO",65000,"MORTGAGE",40.15
"189",40000,11.99,36,"B","CA",80000,"RENT",11.88
"190",16000,16.02,36,"C","FL",45000,"RENT",25.41
"191",14000,9.93,36,"B","CA",150000,"RENT",9.33
"192",10000,19.42,36,"D","FL",69000,"RENT",27.74
"193",2400,7.96,36,"A","KY",35000,"MORTGAGE",23.01
"194",17000,13.59,36,"C","CA",39000,"MORTGAGE",10.83
"195",24000,12.61,36,"C","AR",90000,"OWN",39.63
"196",20000,19.03,36,"D","NJ",82000,"MORTGAGE",18.09
"197",30000,16.01,36,"C","TX",82000,"RENT",7.08
"198",3600,6.72,36,"A","CA",27000,"OWN",2.54
"199",20000,6.07,36,"A","TX",92000,"MORTGAGE",25.33
"200",8000,15.05,36,"C","NJ",45000,"MORTGAGE",23.92
"201",16000,6.07,36,"A","CA",40000,"RENT",29.72
"202",24000,13.58,36,"C","NC",170000,"MORTGAGE",22.66
"203",2000,10.42,36,"B","CA",30000,"RENT",5.68
"204",2000,11.98,36,"B","NY",52500,"RENT",9.73
"205",6500,9.43,36,"B","CA",25000,"RENT",2.78
"206",8000,16.02,36,"C","SC",70000,"RENT",39.07
"207",7000,18.06,36,"D","AL",16000,"RENT",25.43
"208",25000,12.61,60,"C","VA",125000,"RENT",2.47
"209",15000,14.07,60,"C","CA",60000,"MORTGAGE",22.92
"210",35000,10.42,36,"B","NC",1e+05,"RENT",27.71
"211",26000,10.42,36,"B","CA",205000,"RENT",14.04
"212",12000,17.47,60,"D","MI",45000,"MORTGAGE",11.79
"213",10000,10.91,60,"B","CA",26448,"RENT",30.54
"214",15000,5.32,36,"A","CA",90000,"MORTGAGE",18.63
"215",14000,9.44,60,"B","NJ",80000,"MORTGAGE",18.39
"216",15000,9.44,36,"B","GA",60000,"MORTGAGE",27.84
"217",10000,14.08,36,"C","NY",60000,"RENT",9.24
"218",5000,7.35,36,"A","WA",25000,"RENT",14.31
"219",28125,12.62,60,"C","GA",74000,"RENT",14.39
"220",10000,15.04,36,"C","MD",119568,"RENT",22.04
"221",10000,9.92,60,"B","TX",20000,"MORTGAGE",0
"222",40000,10.9,60,"B","MA",151000,"MORTGAGE",15.81
"223",10000,6.72,36,"A","CA",70000,"RENT",27.6
"224",8000,5.32,36,"A","ME",35000,"OWN",29.12
"225",35000,11.99,60,"B","NY",84000,"RENT",7.57
"226",20000,5.32,36,"A","CA",2e+05,"MORTGAGE",10.67
"227",9000,10.41,36,"B","FL",25000,"OWN",31.61
"228",20000,14.07,60,"C","VT",60000,"RENT",8.7
"229",3000,6.07,36,"A","NJ",65000,"RENT",15.05
"230",8000,9.93,36,"B","OR",15000,"RENT",28.96
"231",10000,11.99,36,"B","TX",52000,"OWN",2.28
"232",5000,6.71,36,"A","ME",44000,"RENT",12.9
"233",15000,5.31,36,"A","MA",145000,"MORTGAGE",16.57
"234",10000,13.59,60,"C","IL",48000,"RENT",18.03
"235",40000,10.9,36,"B","CT",1e+05,"OWN",10.92
"236",3000,12.62,36,"C","NE",35000,"RENT",5.59
"237",1500,10.42,36,"B","OH",33000,"RENT",27.02
"238",28000,15.05,36,"C","GA",196000,"MORTGAGE",24.38
"239",8000,6.71,36,"A","CA",76000,"RENT",11.45
"240",20000,21.45,60,"D","FL",49000,"RENT",28.8
"241",40000,9.44,36,"B","NY",275000,"MORTGAGE",11.12
"242",11000,11.99,36,"B","NY",80000,"MORTGAGE",13.47
"243",3300,11.99,36,"B","NY",35500,"RENT",16.93
"244",15000,6.07,36,"A","CA",130000,"MORTGAGE",14.43
"245",11500,5.31,36,"A","UT",56000,"OWN",16.08
"246",16500,6.07,36,"A","FL",150000,"OWN",33.23
"247",15000,19.42,60,"D","WA",80000,"RENT",23.73
"248",35000,21.85,60,"D","NJ",105000,"RENT",14.37
"249",4400,14.08,36,"C","MN",72000,"MORTGAGE",21.32
"250",19000,18.06,60,"D","MA",96000,"MORTGAGE",18.66
"251",3125,10.91,36,"B","MI",35300,"OWN",27.2
"252",20000,9.44,60,"B","IL",73000,"MORTGAGE",24.38
"253",20000,12.62,60,"C","IL",50000,"OWN",17.23
"254",10000,9.44,60,"B","PA",70000,"OWN",7.75
"255",35000,6.08,36,"A","NC",350000,"MORTGAGE",6.21
"256",14000,11.98,36,"B","OH",65000,"RENT",26.88
"257",16000,9.92,36,"B","NY",85820,"OWN",19.44
"258",8000,13.59,36,"C","KY",275000,"MORTGAGE",19.2
"259",7000,10.41,36,"B","NM",90000,"RENT",16.31
"260",24000,9.93,60,"B","IN",45000,"MORTGAGE",42.64
"261",10000,7.97,36,"A","AZ",45000,"MORTGAGE",17.49
"262",2500,19.42,36,"D","NY",56000,"RENT",32.32
"263",25000,18.45,60,"D","MN",58500,"MORTGAGE",18.17
"264",5000,6.72,36,"A","KY",170000,"MORTGAGE",7.2
"265",9000,10.91,36,"B","VA",33427.94,"MORTGAGE",3.48
"266",5000,17.47,36,"D","PA",9600,"RENT",20.73
"267",10000,10.41,36,"B","MA",92000,"RENT",9.37
"268",1200,6.72,36,"A","NJ",12036,"MORTGAGE",74.38
"269",10000,9.44,36,"B","TX",49000,"MORTGAGE",15.28
"270",6000,12.61,36,"C","NY",35000,"RENT",9.09
"271",2500,7.96,36,"A","FL",35000,"RENT",3.67
"272",32000,10.9,36,"B","NY",50000,"OWN",2.7
"273",28000,21.85,60,"D","CA",98000,"MORTGAGE",16.07
"274",10000,7.96,36,"A","TN",20400,"RENT",9.82
"275",35000,9.43,60,"B","IL",108000,"MORTGAGE",21.08
"276",25000,15.04,60,"C","CO",65318.52,"MORTGAGE",22.18
"277",15000,14.07,60,"C","AL",90000,"MORTGAGE",13.72
"278",16000,10.9,36,"B","WI",52000,"MORTGAGE",15.3
"279",20000,6.08,36,"A","NY",109000,"MORTGAGE",13.82
"280",10000,9.93,36,"B","GA",65000,"RENT",15.94
"281",10000,12.61,36,"C","MN",55000,"RENT",11.52
"282",15000,10.42,60,"B","PA",58000,"MORTGAGE",18.48
"283",11100,30.17,60,"F","MD",84000,"MORTGAGE",22.6
"284",24000,19.42,60,"D","GA",85000,"RENT",21.22
"285",1950,9.43,36,"B","NJ",33000,"OWN",20.58
"286",15000,17.47,60,"D","CA",40000,"MORTGAGE",7.2
"287",8000,7.34,36,"A","NJ",46800,"RENT",16.62
"288",8500,7.96,36,"A","SC",48000,"RENT",15.38
"289",12000,13.58,36,"C","TX",67764,"MORTGAGE",17.62
"290",24000,9.43,60,"B","CA",26000,"OWN",10.85
"291",12475,21.85,60,"D","IL",245000,"MORTGAGE",36.25
"292",11500,21.85,60,"D","OH",45000,"RENT",27.28
"293",1000,22.91,36,"E","CO",24000,"RENT",1.25
"294",15000,12.61,36,"C","CA",80000,"MORTGAGE",0.75
"295",13250,9.93,36,"B","AK",52000,"MORTGAGE",12.08
"296",10000,6.72,36,"A","KY",70000,"MORTGAGE",13.75
"297",18000,19.42,36,"D","GA",1e+05,"RENT",8.59
"298",2400,9.92,36,"B","CA",95000,"MORTGAGE",18.89
"299",21700,14.07,60,"C","MS",78000,"MORTGAGE",19.97
"300",36525,10.42,36,"B","MI",65000,"RENT",37.06
"301",5000,7.35,36,"A","SC",85000,"MORTGAGE",17.61
"302",28000,6.71,36,"A","NM",138000,"MORTGAGE",27.51
"303",35000,12.62,36,"C","OK",72900,"MORTGAGE",21.05
"304",40000,21.45,60,"D","DE",1e+05,"MORTGAGE",38.45
"305",14000,16.01,60,"C","PA",31000,"MORTGAGE",17.96
"306",20000,16.02,60,"C","NJ",95000,"MORTGAGE",6.27
"307",7000,10.9,36,"B","CA",28000,"RENT",11.36
"308",20000,11.99,36,"B","NC",115000,"MORTGAGE",9.11
"309",40000,7.34,36,"A","NY",250000,"RENT",5.44
"310",10000,12.61,36,"C","CA",80000,"RENT",15.46
"311",8000,6.71,36,"A","NY",40000,"RENT",7.2
"312",4000,9.43,36,"B","SC",50000,"RENT",2.42
"313",30000,13.59,36,"C","MA",70000,"RENT",34.13
"314",20000,6.08,36,"A","CA",109000,"RENT",17.68
"315",24000,7.96,36,"A","CT",220000,"MORTGAGE",18.01
"316",4000,7.35,36,"A","MN",35000,"RENT",25.65
"317",14000,10.9,60,"B","CA",47328,"RENT",10.19
"318",24000,6.07,36,"A","NC",90000,"MORTGAGE",24.17
"319",2800,19.03,36,"D","UT",17000,"RENT",5.44
"320",32000,14.08,60,"C","NV",240000,"MORTGAGE",9.49
"321",12000,10.42,36,"B","NY",62000,"MORTGAGE",27.7
"322",9600,9.44,36,"B","NC",66000,"MORTGAGE",1.45
"323",9600,5.31,36,"A","GA",39000,"MORTGAGE",9.78
"324",3500,7.97,36,"A","CA",76000,"RENT",11.81
"325",8000,5.32,36,"A","FL",80000,"MORTGAGE",14.44
"326",12000,10.91,36,"B","IL",110000,"MORTGAGE",31.18
"327",32400,10.91,36,"B","TX",89000,"MORTGAGE",38.98
"328",3600,19.03,36,"D","FL",13800,"MORTGAGE",128.61
"329",15000,12.61,60,"C","FL",31800,"RENT",14.72
"330",8300,13.59,36,"C","MO",60000,"MORTGAGE",17.58
"331",25600,5.32,36,"A","MA",140000,"MORTGAGE",20.57
"332",20000,13.58,60,"C","CO",1e+05,"RENT",22.64
"333",27900,16.01,60,"C","NH",180000,"MORTGAGE",9.92
"334",4000,7.35,36,"A","PA",80000,"MORTGAGE",14.52
"335",1000,9.92,36,"B","VT",71000,"MORTGAGE",18.61
"336",24000,9.43,60,"B","MI",62000,"MORTGAGE",16.82
"337",40000,7.35,36,"A","AZ",156000,"MORTGAGE",13.22
"338",22000,9.43,36,"B","IN",77000,"MORTGAGE",7.84
"339",6400,9.44,36,"B","WA",125000,"RENT",5.65
"340",12000,17.09,36,"D","MA",1e+05,"RENT",24.8
"341",30000,18.06,36,"D","CA",85000,"MORTGAGE",24.42
"342",12000,21.85,60,"D","CA",76000,"OWN",18.08
"343",20000,6.72,36,"A","CA",96000,"RENT",10.66
"344",24000,9.43,36,"B","NJ",139500,"MORTGAGE",21.22
"345",38400,10.42,60,"B","MN",74200,"MORTGAGE",16.19
"346",10000,15.04,60,"C","GA",75000,"MORTGAGE",10.15
"347",30000,18.06,36,"D","CA",70000,"RENT",2.59
"348",9000,15.04,36,"C","CA",113000,"RENT",12.86
"349",28000,13.59,36,"C","UT",104000,"RENT",33.84
"350",29000,7.35,60,"A","VA",12000,"MORTGAGE",204.13
"351",5000,15.05,36,"C","TX",14400,"RENT",3.83
"352",26000,26.77,60,"E","WA",30163,"RENT",27.7
"353",25000,7.35,36,"A","TX",120000,"MORTGAGE",7.81
"354",25000,11.98,36,"B","NJ",79500,"OWN",17.98
"355",14000,13.59,36,"C","OR",35000,"RENT",22.57
"356",6000,11.98,36,"B","VA",51200,"RENT",9.14
"357",12000,7.35,36,"A","NY",46000,"RENT",36.45
"358",20000,9.92,36,"B","IL",110000,"MORTGAGE",13.6
"359",10000,14.08,36,"C","NY",62000,"RENT",30.38
"360",10000,9.93,60,"B","FL",78000,"MORTGAGE",15.34
"361",5000,17.47,36,"D","CA",33800,"RENT",16.66
"362",10000,9.43,36,"B","AZ",105000,"MORTGAGE",16.55
"363",10000,7.97,36,"A","GA",50960,"OWN",6.88
"364",15000,9.43,60,"B","MI",87000,"OWN",19.97
"365",17000,14.08,36,"C","CA",53000,"RENT",24.34
"366",19475,7.97,36,"A","MD",56000,"MORTGAGE",19.95
"367",10000,14.07,36,"C","FL",75000,"RENT",17.23
"368",8000,9.93,36,"B","OH",50000,"MORTGAGE",80.75
"369",10000,10.42,36,"B","IN",56000,"RENT",11.62
"370",16000,25.82,60,"E","MI",60000,"RENT",20.16
"371",14000,25.82,60,"E","MA",78900,"MORTGAGE",34.02
"372",11300,7.35,36,"A","IL",118000,"MORTGAGE",19.71
"373",15000,15.05,60,"C","TN",85000,"MORTGAGE",19.95
"374",10000,7.96,36,"A","AK",40000,"RENT",15.53
"375",25000,13.58,36,"C","AL",65000,"OWN",38.29
"376",15000,16.01,60,"C","OH",24000,"MORTGAGE",35.5
"377",19200,7.34,36,"A","IN",75999,"MORTGAGE",34.38
"378",14000,6.08,36,"A","CA",130000,"MORTGAGE",9.53
"379",13000,12.61,36,"C","CO",45000,"RENT",27.92
"380",28000,16.02,60,"C","AL",45000,"MORTGAGE",25.31
"381",26000,11.99,60,"B","GA",114000,"MORTGAGE",18.57
"382",7000,6.08,36,"A","NE",55000,"RENT",20.05
"383",25000,30.79,60,"G","CT",50000,"RENT",23.97
"384",20000,16.02,36,"C","WA",37000,"OWN",30.51
"385",20000,12.61,60,"C","NY",65000,"RENT",21.92
"386",12000,12.61,36,"C","FL",120000,"MORTGAGE",14.24
"387",8650,14.08,36,"C","NJ",56000,"RENT",6.79
"388",7500,17.09,36,"D","FL",70000,"RENT",3.82
"389",21000,7.96,36,"A","FL",196000,"MORTGAGE",14.4
"390",12000,10.42,36,"B","FL",150000,"OWN",4.66
"391",10000,7.34,36,"A","GA",73000,"OWN",26.04
"392",25000,9.92,60,"B","AZ",66000,"MORTGAGE",26.4
"393",8500,6.72,36,"A","MI",14000,"OWN",17.67
"394",18000,10.42,36,"B","VA",77000,"RENT",24.06
"395",18000,6.71,60,"A","CA",52000,"RENT",16.39
"396",9500,16.01,36,"C","FL",93500,"RENT",17.16
"397",20000,14.08,36,"C","CO",55000,"MORTGAGE",23.88
"398",10000,10.9,36,"B","NY",90000,"RENT",8.79
"399",30000,5.31,36,"A","IN",70000,"MORTGAGE",13.5
"400",28000,17.47,60,"D","MA",1e+05,"RENT",27.72
"401",25000,9.93,36,"B","NJ",85000,"MORTGAGE",29.58
"402",30000,9.43,36,"B","NY",195000,"MORTGAGE",12.95
"403",40000,14.08,60,"C","NY",90000,"RENT",14.66
"404",8000,7.97,36,"A","MD",31000,"RENT",25.18
"405",12000,7.35,36,"A","AZ",35000,"RENT",8.02
"406",12000,15.05,60,"C","MS",81000,"RENT",18.5
"407",8000,14.07,36,"C","AL",30000,"RENT",19.8
"408",10000,11.99,36,"B","NC",50000,"MORTGAGE",13.08
"409",6650,5.31,36,"A","MN",1e+05,"RENT",9.17
"410",10000,5.32,36,"A","TX",70000,"MORTGAGE",6.36
"411",5200,11.99,36,"B","FL",39053,"RENT",22.86
"412",15525,15.04,60,"C","CA",55000,"RENT",12.52
"413",6000,6.72,36,"A","CA",60000,"MORTGAGE",9.8
"414",5000,7.97,36,"A","NY",22000,"RENT",9.93
"415",3500,5.32,36,"A","CT",44190,"MORTGAGE",18.98
"416",15000,22.91,36,"E","IL",23000,"MORTGAGE",22.66
"417",21625,10.91,60,"B","CA",120000,"RENT",16.72
"418",11200,15.05,36,"C","GA",67000,"MORTGAGE",33.01
"419",40000,7.35,36,"A","CA",137000,"MORTGAGE",14.16
"420",10000,11.99,36,"B","CA",30000,"MORTGAGE",3.76
"421",36000,9.93,36,"B","CA",75000,"RENT",17.74
"422",17000,20,60,"D","NY",44500,"RENT",19.85
"423",9000,13.59,36,"C","GA",42000,"MORTGAGE",11.66
"424",28000,26.77,60,"E","MD",119000,"RENT",8.64
"425",15000,16.01,60,"C","NJ",63000,"RENT",35.12
"426",7000,5.31,36,"A","VA",41600,"RENT",5.25
"427",20000,21.85,60,"D","NJ",50000,"MORTGAGE",10.8
"428",1000,11.99,36,"B","MI",19719,"RENT",3.04
"429",7000,6.08,36,"A","TX",74500,"MORTGAGE",21.62
"430",5000,19.03,36,"D","CA",50000,"RENT",34.04
"431",30000,7.35,36,"A","IL",75000,"MORTGAGE",21.52
"432",6000,7.96,36,"A","MN",67000,"MORTGAGE",22.14
"433",20000,20.39,36,"D","TN",80000,"OWN",33.37
"434",20000,15.05,60,"C","UT",10800,"OWN",92.67
